File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_testharness\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\inc\cl_th.h,140,112,11,0,22,90,6,172,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_timer\Cl_TimerManager.c,227,146,96,24,59,0,22,62,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_timer\inc\Cl_TimerManager.h,18,5,0,0,7,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_utils\cl_utilities.c,55,34,23,5,10,0,11,24,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_utils\cl_versions.c,13,3,1,0,4,0,6,12,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_utils\inc\cl_utilities.h,16,3,0,0,7,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\cl_utils\inc\cl_versions.h,17,4,0,0,7,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\inc\cl_stubs.h,16,3,0,0,6,1,7,17,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\cl_app\\inc\cl_types.h,99,77,64,0,15,1,7,16,6,12
